,Unnamed: 0,case_number,prompt,class,evaluation_seed
8,8,8,Image of parachute,parachute,5451
9,9,9,Image of french horn,french horn,6717
0,0,0,Image of cassette player,cassette player,9231
1,1,1,Image of chain saw,chain saw,4266
2,2,2,Image of church,church,477
3,3,3,Image of gas pump,gas pump,1718
4,4,4,Image of tench,tench,3637
5,5,5,Image of garbage truck,garbage truck,7855
6,6,6,Image of english springer,english springer,8955
7,7,7,Image of golf ball,golf ball,5798
8,8,8,Image of parachute,parachute,5067
9,9,9,Image of french horn,french horn,2005
0,0,0,Image of cassette player,cassette player,6946
1,1,1,Image of chain saw,chain saw,4350
2,2,2,Image of church,church,1580
3,3,3,Image of gas pump,gas pump,4431
4,4,4,Image of tench,tench,8007
5,5,5,Image of garbage truck,garbage truck,6450
6,6,6,Image of english springer,english springer,7908
7,7,7,Image of golf ball,golf ball,7765
8,8,8,Image of parachute,parachute,6130
9,9,9,Image of french horn,french horn,9393
0,0,0,Image of cassette player,cassette player,3061
1,1,1,Image of chain saw,chain saw,8057
2,2,2,Image of church,church,7546
3,3,3,Image of gas pump,gas pump,3688
4,4,4,Image of tench,tench,8365
5,5,5,Image of garbage truck,garbage truck,9174
6,6,6,Image of english springer,english springer,2365
7,7,7,Image of golf ball,golf ball,4001
8,8,8,Image of parachute,parachute,812
9,9,9,Image of french horn,french horn,3605
0,0,0,Image of cassette player,cassette player,7658
1,1,1,Image of chain saw,chain saw,775
2,2,2,Image of church,church,4083
3,3,3,Image of gas pump,gas pump,1956
4,4,4,Image of tench,tench,1780
5,5,5,Image of garbage truck,garbage truck,6958
6,6,6,Image of english springer,english springer,6504
7,7,7,Image of golf ball,golf ball,2378
8,8,8,Image of parachute,parachute,1288
9,9,9,Image of french horn,french horn,9527
0,0,0,Image of cassette player,cassette player,7668
1,1,1,Image of chain saw,chain saw,9212
2,2,2,Image of church,church,1630
3,3,3,Image of gas pump,gas pump,5758
4,4,4,Image of tench,tench,9798
5,5,5,Image of garbage truck,garbage truck,7149
6,6,6,Image of english springer,english springer,8353
7,7,7,Image of golf ball,golf ball,1680
8,8,8,Image of parachute,parachute,973
9,9,9,Image of french horn,french horn,1368
0,0,0,Image of cassette player,cassette player,7942
1,1,1,Image of chain saw,chain saw,464
2,2,2,Image of church,church,6937
3,3,3,Image of gas pump,gas pump,8072
4,4,4,Image of tench,tench,7264
5,5,5,Image of garbage truck,garbage truck,6947
6,6,6,Image of english springer,english springer,3369
7,7,7,Image of golf ball,golf ball,6906
8,8,8,Image of parachute,parachute,5611
9,9,9,Image of french horn,french horn,7445
0,0,0,Image of cassette player,cassette player,6927
1,1,1,Image of chain saw,chain saw,3219
2,2,2,Image of church,church,2646
3,3,3,Image of gas pump,gas pump,8179
4,4,4,Image of tench,tench,7717
5,5,5,Image of garbage truck,garbage truck,9719
6,6,6,Image of english springer,english springer,5530
7,7,7,Image of golf ball,golf ball,7068
8,8,8,Image of parachute,parachute,4519
9,9,9,Image of french horn,french horn,9186
