,Unnamed: 0,case_number,prompt,class,evaluation_seed
7,7,7,Image of golf ball,golf ball,31510
8,8,8,Image of parachute,parachute,93136
9,9,9,Image of french horn,french horn,82970
0,0,0,Image of cassette player,cassette player,90878
1,1,1,Image of chain saw,chain saw,46891
2,2,2,Image of church,church,65010
3,3,3,Image of gas pump,gas pump,87549
4,4,4,Image of tench,tench,20797
5,5,5,Image of garbage truck,garbage truck,34848
6,6,6,Image of english springer,english springer,72540
7,7,7,Image of golf ball,golf ball,46366
8,8,8,Image of parachute,parachute,89279
9,9,9,Image of french horn,french horn,90595
0,0,0,Image of cassette player,cassette player,49967
1,1,1,Image of chain saw,chain saw,61686
2,2,2,Image of church,church,8585
3,3,3,Image of gas pump,gas pump,72663
4,4,4,Image of tench,tench,76865
5,5,5,Image of garbage truck,garbage truck,33871
6,6,6,Image of english springer,english springer,39491
7,7,7,Image of golf ball,golf ball,88714
8,8,8,Image of parachute,parachute,69710
9,9,9,Image of french horn,french horn,42149
0,0,0,Image of cassette player,cassette player,95996
1,1,1,Image of chain saw,chain saw,4269
2,2,2,Image of church,church,12775
3,3,3,Image of gas pump,gas pump,50302
4,4,4,Image of tench,tench,21058
5,5,5,Image of garbage truck,garbage truck,62981
6,6,6,Image of english springer,english springer,26460
7,7,7,Image of golf ball,golf ball,57326
8,8,8,Image of parachute,parachute,97703
9,9,9,Image of french horn,french horn,2541
0,0,0,Image of cassette player,cassette player,49533
1,1,1,Image of chain saw,chain saw,60297
2,2,2,Image of church,church,50707
3,3,3,Image of gas pump,gas pump,91865
4,4,4,Image of tench,tench,31738
5,5,5,Image of garbage truck,garbage truck,67102
6,6,6,Image of english springer,english springer,45523
7,7,7,Image of golf ball,golf ball,1634
8,8,8,Image of parachute,parachute,46685
9,9,9,Image of french horn,french horn,80097
0,0,0,Image of cassette player,cassette player,85263
1,1,1,Image of chain saw,chain saw,91478
2,2,2,Image of church,church,6928
3,3,3,Image of gas pump,gas pump,69647
4,4,4,Image of tench,tench,80433
5,5,5,Image of garbage truck,garbage truck,1107
6,6,6,Image of english springer,english springer,50408
7,7,7,Image of golf ball,golf ball,20211
8,8,8,Image of parachute,parachute,89114
9,9,9,Image of french horn,french horn,164
0,0,0,Image of cassette player,cassette player,56848
1,1,1,Image of chain saw,chain saw,94933
2,2,2,Image of church,church,1511
3,3,3,Image of gas pump,gas pump,66724
4,4,4,Image of tench,tench,36432
5,5,5,Image of garbage truck,garbage truck,25396
6,6,6,Image of english springer,english springer,43065
7,7,7,Image of golf ball,golf ball,57063
8,8,8,Image of parachute,parachute,13455
9,9,9,Image of french horn,french horn,49006
0,0,0,Image of cassette player,cassette player,10209
1,1,1,Image of chain saw,chain saw,47793
2,2,2,Image of church,church,13504
3,3,3,Image of gas pump,gas pump,17865
4,4,4,Image of tench,tench,32207
5,5,5,Image of garbage truck,garbage truck,26633
6,6,6,Image of english springer,english springer,16376
7,7,7,Image of golf ball,golf ball,78893
8,8,8,Image of parachute,parachute,75136
9,9,9,Image of french horn,french horn,47329
0,0,0,Image of cassette player,cassette player,91031
1,1,1,Image of chain saw,chain saw,68538
2,2,2,Image of church,church,98247
3,3,3,Image of gas pump,gas pump,23935
4,4,4,Image of tench,tench,97660
5,5,5,Image of garbage truck,garbage truck,36445
6,6,6,Image of english springer,english springer,94668
7,7,7,Image of golf ball,golf ball,53487
8,8,8,Image of parachute,parachute,33091
9,9,9,Image of french horn,french horn,35823
0,0,0,Image of cassette player,cassette player,12833
1,1,1,Image of chain saw,chain saw,45573
2,2,2,Image of church,church,31225
3,3,3,Image of gas pump,gas pump,45050
4,4,4,Image of tench,tench,96423
5,5,5,Image of garbage truck,garbage truck,37213
6,6,6,Image of english springer,english springer,91101
7,7,7,Image of golf ball,golf ball,4002
8,8,8,Image of parachute,parachute,797
9,9,9,Image of french horn,french horn,27442
0,0,0,Image of cassette player,cassette player,88153
1,1,1,Image of chain saw,chain saw,51336
2,2,2,Image of church,church,2455
3,3,3,Image of gas pump,gas pump,5783
4,4,4,Image of tench,tench,45395
5,5,5,Image of garbage truck,garbage truck,7201
6,6,6,Image of english springer,english springer,96778
7,7,7,Image of golf ball,golf ball,78294
8,8,8,Image of parachute,parachute,90920
9,9,9,Image of french horn,french horn,23005
0,0,0,Image of cassette player,cassette player,91521
1,1,1,Image of chain saw,chain saw,15205
2,2,2,Image of church,church,9104
3,3,3,Image of gas pump,gas pump,1922
4,4,4,Image of tench,tench,52763
5,5,5,Image of garbage truck,garbage truck,72811
6,6,6,Image of english springer,english springer,75614
7,7,7,Image of golf ball,golf ball,93840
8,8,8,Image of parachute,parachute,87721
9,9,9,Image of french horn,french horn,858
0,0,0,Image of cassette player,cassette player,36220
1,1,1,Image of chain saw,chain saw,90869
2,2,2,Image of church,church,44916
3,3,3,Image of gas pump,gas pump,37251
4,4,4,Image of tench,tench,23124
5,5,5,Image of garbage truck,garbage truck,56976
6,6,6,Image of english springer,english springer,22833
7,7,7,Image of golf ball,golf ball,51451
8,8,8,Image of parachute,parachute,69237
9,9,9,Image of french horn,french horn,83245
0,0,0,Image of cassette player,cassette player,52560
1,1,1,Image of chain saw,chain saw,33707
2,2,2,Image of church,church,8098
3,3,3,Image of gas pump,gas pump,65398
4,4,4,Image of tench,tench,18215
5,5,5,Image of garbage truck,garbage truck,25032
6,6,6,Image of english springer,english springer,50711
7,7,7,Image of golf ball,golf ball,63252
8,8,8,Image of parachute,parachute,19336
9,9,9,Image of french horn,french horn,72623
0,0,0,Image of cassette player,cassette player,66445
1,1,1,Image of chain saw,chain saw,12175
2,2,2,Image of church,church,81211
3,3,3,Image of gas pump,gas pump,40982
4,4,4,Image of tench,tench,53579
5,5,5,Image of garbage truck,garbage truck,21630
6,6,6,Image of english springer,english springer,40914
7,7,7,Image of golf ball,golf ball,65763
8,8,8,Image of parachute,parachute,14544
9,9,9,Image of french horn,french horn,43139
0,0,0,Image of cassette player,cassette player,48389
1,1,1,Image of chain saw,chain saw,90515
2,2,2,Image of church,church,31738
3,3,3,Image of gas pump,gas pump,88993
4,4,4,Image of tench,tench,84924
5,5,5,Image of garbage truck,garbage truck,12518
6,6,6,Image of english springer,english springer,42764
7,7,7,Image of golf ball,golf ball,29535
8,8,8,Image of parachute,parachute,16963
9,9,9,Image of french horn,french horn,89665
0,0,0,Image of cassette player,cassette player,80605
1,1,1,Image of chain saw,chain saw,17986
2,2,2,Image of church,church,50600
3,3,3,Image of gas pump,gas pump,28095
4,4,4,Image of tench,tench,82888
5,5,5,Image of garbage truck,garbage truck,47373
6,6,6,Image of english springer,english springer,33018
7,7,7,Image of golf ball,golf ball,55534
8,8,8,Image of parachute,parachute,64118
9,9,9,Image of french horn,french horn,98039
0,0,0,Image of cassette player,cassette player,10244
1,1,1,Image of chain saw,chain saw,47001
2,2,2,Image of church,church,439
3,3,3,Image of gas pump,gas pump,5805
4,4,4,Image of tench,tench,12980
5,5,5,Image of garbage truck,garbage truck,95631
6,6,6,Image of english springer,english springer,75025
7,7,7,Image of golf ball,golf ball,79545
8,8,8,Image of parachute,parachute,67366
9,9,9,Image of french horn,french horn,32030
0,0,0,Image of cassette player,cassette player,28247
1,1,1,Image of chain saw,chain saw,8121
2,2,2,Image of church,church,30765
3,3,3,Image of gas pump,gas pump,21844
4,4,4,Image of tench,tench,61059
5,5,5,Image of garbage truck,garbage truck,48690
6,6,6,Image of english springer,english springer,64321
7,7,7,Image of golf ball,golf ball,12816
8,8,8,Image of parachute,parachute,7062
9,9,9,Image of french horn,french horn,27420
0,0,0,Image of cassette player,cassette player,18492
1,1,1,Image of chain saw,chain saw,71309
2,2,2,Image of church,church,42669
3,3,3,Image of gas pump,gas pump,79323
4,4,4,Image of tench,tench,45693
5,5,5,Image of garbage truck,garbage truck,74379
6,6,6,Image of english springer,english springer,70713
7,7,7,Image of golf ball,golf ball,55206
8,8,8,Image of parachute,parachute,96554
9,9,9,Image of french horn,french horn,59395
0,0,0,Image of cassette player,cassette player,40312
1,1,1,Image of chain saw,chain saw,87409
2,2,2,Image of church,church,20350
3,3,3,Image of gas pump,gas pump,47937
4,4,4,Image of tench,tench,74488
5,5,5,Image of garbage truck,garbage truck,74925
6,6,6,Image of english springer,english springer,53957
7,7,7,Image of golf ball,golf ball,28594
8,8,8,Image of parachute,parachute,35606
9,9,9,Image of french horn,french horn,11065
0,0,0,Image of cassette player,cassette player,31972
1,1,1,Image of chain saw,chain saw,1908
2,2,2,Image of church,church,38906
3,3,3,Image of gas pump,gas pump,71021
4,4,4,Image of tench,tench,71605
5,5,5,Image of garbage truck,garbage truck,46893
6,6,6,Image of english springer,english springer,92852
7,7,7,Image of golf ball,golf ball,25608
8,8,8,Image of parachute,parachute,17679
9,9,9,Image of french horn,french horn,48420
0,0,0,Image of cassette player,cassette player,35327
1,1,1,Image of chain saw,chain saw,68251
2,2,2,Image of church,church,91039
3,3,3,Image of gas pump,gas pump,51618
4,4,4,Image of tench,tench,1034
5,5,5,Image of garbage truck,garbage truck,38134
6,6,6,Image of english springer,english springer,27780
7,7,7,Image of golf ball,golf ball,16415
8,8,8,Image of parachute,parachute,42067
9,9,9,Image of french horn,french horn,41149
0,0,0,Image of cassette player,cassette player,87279
1,1,1,Image of chain saw,chain saw,5084
2,2,2,Image of church,church,13209
3,3,3,Image of gas pump,gas pump,97304
4,4,4,Image of tench,tench,82407
5,5,5,Image of garbage truck,garbage truck,35483
6,6,6,Image of english springer,english springer,16222
7,7,7,Image of golf ball,golf ball,49148
8,8,8,Image of parachute,parachute,43781
9,9,9,Image of french horn,french horn,47977
0,0,0,Image of cassette player,cassette player,8301
1,1,1,Image of chain saw,chain saw,64375
2,2,2,Image of church,church,62901
3,3,3,Image of gas pump,gas pump,48700
4,4,4,Image of tench,tench,61595
5,5,5,Image of garbage truck,garbage truck,15216
6,6,6,Image of english springer,english springer,75974
7,7,7,Image of golf ball,golf ball,40147
8,8,8,Image of parachute,parachute,31075
9,9,9,Image of french horn,french horn,91918
0,0,0,Image of cassette player,cassette player,66695
1,1,1,Image of chain saw,chain saw,74862
2,2,2,Image of church,church,85428
3,3,3,Image of gas pump,gas pump,39877
4,4,4,Image of tench,tench,5036
5,5,5,Image of garbage truck,garbage truck,64511
6,6,6,Image of english springer,english springer,68080
7,7,7,Image of golf ball,golf ball,83436
8,8,8,Image of parachute,parachute,77140
9,9,9,Image of french horn,french horn,73779
0,0,0,Image of cassette player,cassette player,47341
1,1,1,Image of chain saw,chain saw,91017
2,2,2,Image of church,church,85039
3,3,3,Image of gas pump,gas pump,14030
4,4,4,Image of tench,tench,90072
5,5,5,Image of garbage truck,garbage truck,78798
6,6,6,Image of english springer,english springer,4197
7,7,7,Image of golf ball,golf ball,31922
8,8,8,Image of parachute,parachute,53555
9,9,9,Image of french horn,french horn,66398
0,0,0,Image of cassette player,cassette player,30076
1,1,1,Image of chain saw,chain saw,83456
2,2,2,Image of church,church,23934
3,3,3,Image of gas pump,gas pump,24858
4,4,4,Image of tench,tench,7550
5,5,5,Image of garbage truck,garbage truck,57856
6,6,6,Image of english springer,english springer,60902
7,7,7,Image of golf ball,golf ball,10235
8,8,8,Image of parachute,parachute,24391
9,9,9,Image of french horn,french horn,91022
0,0,0,Image of cassette player,cassette player,85876
1,1,1,Image of chain saw,chain saw,8035
2,2,2,Image of church,church,54518
3,3,3,Image of gas pump,gas pump,81573
4,4,4,Image of tench,tench,97652
5,5,5,Image of garbage truck,garbage truck,66045
6,6,6,Image of english springer,english springer,31154
7,7,7,Image of golf ball,golf ball,64156
8,8,8,Image of parachute,parachute,80302
9,9,9,Image of french horn,french horn,94471
0,0,0,Image of cassette player,cassette player,37303
1,1,1,Image of chain saw,chain saw,74103
2,2,2,Image of church,church,17028
3,3,3,Image of gas pump,gas pump,74673
4,4,4,Image of tench,tench,93837
5,5,5,Image of garbage truck,garbage truck,49559
6,6,6,Image of english springer,english springer,4375
7,7,7,Image of golf ball,golf ball,61737
8,8,8,Image of parachute,parachute,19230
9,9,9,Image of french horn,french horn,24008
0,0,0,Image of cassette player,cassette player,87295
1,1,1,Image of chain saw,chain saw,40116
2,2,2,Image of church,church,54557
3,3,3,Image of gas pump,gas pump,12187
4,4,4,Image of tench,tench,65116
5,5,5,Image of garbage truck,garbage truck,6550
6,6,6,Image of english springer,english springer,20361
7,7,7,Image of golf ball,golf ball,58005
8,8,8,Image of parachute,parachute,43058
9,9,9,Image of french horn,french horn,78100
0,0,0,Image of cassette player,cassette player,62689
1,1,1,Image of chain saw,chain saw,44494
2,2,2,Image of church,church,19549
3,3,3,Image of gas pump,gas pump,26516
4,4,4,Image of tench,tench,70368
5,5,5,Image of garbage truck,garbage truck,48950
6,6,6,Image of english springer,english springer,5269
7,7,7,Image of golf ball,golf ball,47402
8,8,8,Image of parachute,parachute,97906
9,9,9,Image of french horn,french horn,66181
0,0,0,Image of cassette player,cassette player,38253
1,1,1,Image of chain saw,chain saw,17324
2,2,2,Image of church,church,37596
3,3,3,Image of gas pump,gas pump,79850
4,4,4,Image of tench,tench,31289
5,5,5,Image of garbage truck,garbage truck,83624
6,6,6,Image of english springer,english springer,21615
7,7,7,Image of golf ball,golf ball,8545
8,8,8,Image of parachute,parachute,53354
9,9,9,Image of french horn,french horn,76141
0,0,0,Image of cassette player,cassette player,41840
1,1,1,Image of chain saw,chain saw,56443
2,2,2,Image of church,church,85310
3,3,3,Image of gas pump,gas pump,20725
4,4,4,Image of tench,tench,64052
5,5,5,Image of garbage truck,garbage truck,2440
6,6,6,Image of english springer,english springer,54058
7,7,7,Image of golf ball,golf ball,80307
8,8,8,Image of parachute,parachute,75944
9,9,9,Image of french horn,french horn,6968
0,0,0,Image of cassette player,cassette player,52734
1,1,1,Image of chain saw,chain saw,84613
2,2,2,Image of church,church,48836
3,3,3,Image of gas pump,gas pump,91046
4,4,4,Image of tench,tench,62135
5,5,5,Image of garbage truck,garbage truck,87128
6,6,6,Image of english springer,english springer,34254
7,7,7,Image of golf ball,golf ball,78529
8,8,8,Image of parachute,parachute,62755
9,9,9,Image of french horn,french horn,38498
0,0,0,Image of cassette player,cassette player,21742
1,1,1,Image of chain saw,chain saw,81524
2,2,2,Image of church,church,24834
3,3,3,Image of gas pump,gas pump,52069
4,4,4,Image of tench,tench,98640
5,5,5,Image of garbage truck,garbage truck,40341
6,6,6,Image of english springer,english springer,98907
7,7,7,Image of golf ball,golf ball,96377
8,8,8,Image of parachute,parachute,2073
9,9,9,Image of french horn,french horn,14846
0,0,0,Image of cassette player,cassette player,11253
1,1,1,Image of chain saw,chain saw,19938
2,2,2,Image of church,church,41362
3,3,3,Image of gas pump,gas pump,25206
4,4,4,Image of tench,tench,35329
5,5,5,Image of garbage truck,garbage truck,35277
6,6,6,Image of english springer,english springer,89755
7,7,7,Image of golf ball,golf ball,61313
8,8,8,Image of parachute,parachute,50844
9,9,9,Image of french horn,french horn,44140
0,0,0,Image of cassette player,cassette player,15298
1,1,1,Image of chain saw,chain saw,81780
2,2,2,Image of church,church,36648
3,3,3,Image of gas pump,gas pump,51161
4,4,4,Image of tench,tench,78474
5,5,5,Image of garbage truck,garbage truck,25475
6,6,6,Image of english springer,english springer,42722
7,7,7,Image of golf ball,golf ball,8259
8,8,8,Image of parachute,parachute,28978
9,9,9,Image of french horn,french horn,36232
0,0,0,Image of cassette player,cassette player,45848
1,1,1,Image of chain saw,chain saw,90343
2,2,2,Image of church,church,77666
3,3,3,Image of gas pump,gas pump,76379
4,4,4,Image of tench,tench,2334
5,5,5,Image of garbage truck,garbage truck,4299
6,6,6,Image of english springer,english springer,53225
7,7,7,Image of golf ball,golf ball,10352
8,8,8,Image of parachute,parachute,58708
9,9,9,Image of french horn,french horn,26507
0,0,0,Image of cassette player,cassette player,21278
1,1,1,Image of chain saw,chain saw,37973
2,2,2,Image of church,church,30576
3,3,3,Image of gas pump,gas pump,65162
4,4,4,Image of tench,tench,60962
5,5,5,Image of garbage truck,garbage truck,45249
6,6,6,Image of english springer,english springer,74105
7,7,7,Image of golf ball,golf ball,3488
8,8,8,Image of parachute,parachute,90875
9,9,9,Image of french horn,french horn,39560
0,0,0,Image of cassette player,cassette player,2361
1,1,1,Image of chain saw,chain saw,22641
2,2,2,Image of church,church,17875
3,3,3,Image of gas pump,gas pump,44826
4,4,4,Image of tench,tench,91014
5,5,5,Image of garbage truck,garbage truck,15546
6,6,6,Image of english springer,english springer,80924
7,7,7,Image of golf ball,golf ball,33798
8,8,8,Image of parachute,parachute,43572
9,9,9,Image of french horn,french horn,74675
0,0,0,Image of cassette player,cassette player,75519
1,1,1,Image of chain saw,chain saw,44486
2,2,2,Image of church,church,60879
3,3,3,Image of gas pump,gas pump,23721
4,4,4,Image of tench,tench,52913
5,5,5,Image of garbage truck,garbage truck,69847
6,6,6,Image of english springer,english springer,64667
7,7,7,Image of golf ball,golf ball,57412
8,8,8,Image of parachute,parachute,48367
9,9,9,Image of french horn,french horn,98099
0,0,0,Image of cassette player,cassette player,91753
1,1,1,Image of chain saw,chain saw,85851
2,2,2,Image of church,church,55548
3,3,3,Image of gas pump,gas pump,86316
4,4,4,Image of tench,tench,25539
5,5,5,Image of garbage truck,garbage truck,5817
6,6,6,Image of english springer,english springer,24828
7,7,7,Image of golf ball,golf ball,32645
8,8,8,Image of parachute,parachute,63983
9,9,9,Image of french horn,french horn,15166
0,0,0,Image of cassette player,cassette player,33028
1,1,1,Image of chain saw,chain saw,80700
2,2,2,Image of church,church,85030
3,3,3,Image of gas pump,gas pump,52543
4,4,4,Image of tench,tench,22376
5,5,5,Image of garbage truck,garbage truck,75236
6,6,6,Image of english springer,english springer,37403
7,7,7,Image of golf ball,golf ball,94107
8,8,8,Image of parachute,parachute,41644
9,9,9,Image of french horn,french horn,82079
0,0,0,Image of cassette player,cassette player,63033
1,1,1,Image of chain saw,chain saw,1009
2,2,2,Image of church,church,1515
3,3,3,Image of gas pump,gas pump,34285
4,4,4,Image of tench,tench,25122
5,5,5,Image of garbage truck,garbage truck,56107
6,6,6,Image of english springer,english springer,85641
7,7,7,Image of golf ball,golf ball,94414
8,8,8,Image of parachute,parachute,38203
9,9,9,Image of french horn,french horn,43582
0,0,0,Image of cassette player,cassette player,81387
1,1,1,Image of chain saw,chain saw,95603
2,2,2,Image of church,church,85487
3,3,3,Image of gas pump,gas pump,55405
4,4,4,Image of tench,tench,70688
5,5,5,Image of garbage truck,garbage truck,89141
6,6,6,Image of english springer,english springer,62210
7,7,7,Image of golf ball,golf ball,34836
8,8,8,Image of parachute,parachute,31500
9,9,9,Image of french horn,french horn,28051
0,0,0,Image of cassette player,cassette player,77558
1,1,1,Image of chain saw,chain saw,69825
2,2,2,Image of church,church,20109
3,3,3,Image of gas pump,gas pump,6231
4,4,4,Image of tench,tench,21764
5,5,5,Image of garbage truck,garbage truck,86570
6,6,6,Image of english springer,english springer,25360
7,7,7,Image of golf ball,golf ball,70492
8,8,8,Image of parachute,parachute,21374
9,9,9,Image of french horn,french horn,43085
0,0,0,Image of cassette player,cassette player,64257
1,1,1,Image of chain saw,chain saw,14094
2,2,2,Image of church,church,11195
3,3,3,Image of gas pump,gas pump,52512
4,4,4,Image of tench,tench,82203
5,5,5,Image of garbage truck,garbage truck,32351
6,6,6,Image of english springer,english springer,88965
7,7,7,Image of golf ball,golf ball,92759
8,8,8,Image of parachute,parachute,97479
9,9,9,Image of french horn,french horn,48743
0,0,0,Image of cassette player,cassette player,48617
1,1,1,Image of chain saw,chain saw,97469
2,2,2,Image of church,church,32175
3,3,3,Image of gas pump,gas pump,83344
4,4,4,Image of tench,tench,4054
5,5,5,Image of garbage truck,garbage truck,6531
6,6,6,Image of english springer,english springer,83844
7,7,7,Image of golf ball,golf ball,83274
8,8,8,Image of parachute,parachute,4682
9,9,9,Image of french horn,french horn,61241
0,0,0,Image of cassette player,cassette player,9920
1,1,1,Image of chain saw,chain saw,74082
2,2,2,Image of church,church,97963
3,3,3,Image of gas pump,gas pump,15367
4,4,4,Image of tench,tench,24513
5,5,5,Image of garbage truck,garbage truck,32278
6,6,6,Image of english springer,english springer,66725
7,7,7,Image of golf ball,golf ball,27734
8,8,8,Image of parachute,parachute,16194
9,9,9,Image of french horn,french horn,85795
0,0,0,Image of cassette player,cassette player,58268
1,1,1,Image of chain saw,chain saw,656
2,2,2,Image of church,church,83420
3,3,3,Image of gas pump,gas pump,96304
4,4,4,Image of tench,tench,87796
5,5,5,Image of garbage truck,garbage truck,41795
6,6,6,Image of english springer,english springer,23279
7,7,7,Image of golf ball,golf ball,88769
8,8,8,Image of parachute,parachute,28866
9,9,9,Image of french horn,french horn,28494
0,0,0,Image of cassette player,cassette player,44406
1,1,1,Image of chain saw,chain saw,91178
2,2,2,Image of church,church,42217
3,3,3,Image of gas pump,gas pump,93054
4,4,4,Image of tench,tench,68025
5,5,5,Image of garbage truck,garbage truck,49855
6,6,6,Image of english springer,english springer,27305
7,7,7,Image of golf ball,golf ball,38620
8,8,8,Image of parachute,parachute,58717
9,9,9,Image of french horn,french horn,8906
0,0,0,Image of cassette player,cassette player,1691
1,1,1,Image of chain saw,chain saw,56360
2,2,2,Image of church,church,32568
3,3,3,Image of gas pump,gas pump,68084
4,4,4,Image of tench,tench,21668
5,5,5,Image of garbage truck,garbage truck,15208
6,6,6,Image of english springer,english springer,58165
